filename,oldInvariant,expected,sizeOfTrace,numOfPositives,numOfNegatives,solvingTime,formula
weakening/w_conseq_7_75_5_5.trace,"[](a -> b)","[](a -> b || c)",75,5,5,TO,-
weakening/w_conseq_11_35_5_5.trace,"[](a -> b)","[](a -> b || c)",35,5,5,86.019,"[](a -> (b || c))"
weakening/w_antec_3_5_100_100.trace,"[](a -> b)","[](a && c -> b)",5,100,100,2.471,"[]((a && c) -> b)"
weakening/w_antec_3_30_5_5.trace,"[](a -> b)","[](a && c -> b)",30,5,5,14.464,"[]((a && c) -> b)"
weakening/w_antec_3_100_5_5.trace,"[](a -> b)","[](a && c -> b)",100,5,5,TO,-
weakening/w_conseq_11_5_30_30.trace,"[](a -> b)","[](a -> b || c)",5,30,30,2.793,"[](a -> (b || c))"
weakening/w_conseq_11_65_5_5.trace,"[](a -> b)","[](a -> b || c)",65,5,5,"ERR:Unknown exception occurred: java.lang.OutOfMemoryError: GC overhead limit exceeded",-
weakening/w_conseq_11_100_5_5.trace,"[](a -> b)","[](a -> b || c)",100,5,5,TO,-
weakening/w_antec_3_65_5_5.trace,"[](a -> b)","[](a && c -> b)",65,5,5,"ERR:Unknown exception occurred: java.lang.OutOfMemoryError: GC overhead limit exceeded",-
weakening/w_conseq_7_65_5_5.trace,"[](a -> b)","[](a -> b || c)",65,5,5,"ERR:Unknown exception occurred: java.lang.OutOfMemoryError: GC overhead limit exceeded",-
weakening/w_conseq_11_25_5_5.trace,"[](a -> b)","[](a -> b || c)",25,5,5,21.466,"[](a -> (b || c))"
weakening/w_conseq_7_5_85_85.trace,"[](a -> b)","[](a -> b || c)",5,85,85,4.107,"[](a -> (b || c))"
weakening/w_conseq_7_5_100_100.trace,"[](a -> b)","[](a -> b || c)",5,100,100,5.148,"[](a -> (b || c))"
weakening/w_conseq_11_80_5_5.trace,"[](a -> b)","[](a -> b || c)",80,5,5,TO,-
weakening/w_antec_11_75_5_5.trace,"[](a -> b)","[](a && c -> b)",75,5,5,TO,-
weakening/w_antec_7_5_55_55.trace,"[](a -> b)","[](a && c -> b)",5,55,55,2.721,"[]((a && c) -> b)"
weakening/w_conseq_11_5_20_20.trace,"[](a -> b)","[](a -> b || c)",5,20,20,2.009,"[](a -> (b || c))"
weakening/w_conseq_3_25_5_5.trace,"[](a -> b)","[](a -> b || c)",25,5,5,9.06,"[](a -> (b || c))"
